insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.192128,1.17018,5.14449871201,0.0,1.192128
0.02,32,0,1.255072,1.190528,0,0.0,1.255072
0.03,60,0,1.71816,1.60881,0,0.0,1.71816
0.04,64,0,1.257984,1.195824,0,0.0,1.257984
0.05,72,0,1.302552,1.2309552,0,0.0,1.302552
0.06,116,0,1.729212,1.619824,0,0.0,1.729212
0.07,128,1526,1.324672,1.1927104,17.5384615385,11.9546374564,31.792128
0.08,128,1526,1.324672,1.1927104,24.8333333333,11.9546374564,31.792128
0.09,129,1526,1.335021,1.200087,36.2307692308,11.8672103754,32.040504
0.1,147,1526,1.335789,1.2429585,26.125,10.502202894,28.051569
0.11,184,1526,1.476416,1.423148,42.1063829787,8.45128121428,25.099072
0.12,225,1526,1.696275,1.578375,41.9166666667,6.86620952816,23.74785
0.13,251,1526,1.693497,1.228645,14.9285714286,6.10573221321,22.015461
0.14,256,2616,1.391104,1.217536,41.6956521739,10.2492212229,29.213184
0.15,256,4796,1.391104,1.217536,26.2169811321,18.7902389087,52.861952
0.16,256,4360,1.391104,1.217536,32.8031496063,17.0820353715,48.68864
0.17,259,4142,1.291892,1.222998,27.0833333333,16.0486406095,41.340544
0.18,264,5450,1.30284,1.219284,20.3741496599,20.7403302048,54.71928
0.19,276,2180,1.306308,1.218264,33.5517241379,7.95734517307,20.900928
0.2,298,3052,1.378548,1.2492607,7.04812834225,10.3688081852,28.949508
0.21,324,6104,1.423656,1.3065462,20.2485207101,19.1446724339,54.098928
0.22,356,3270,1.476688,1.397567,28.8764705882,9.35789809254,28.057072
0.23,401,5014,1.604802,1.488512,13.3695652174,12.7193170794,41.724852
0.24,444,3706,1.67166,1.5728922,23.3821989529,8.45587595321,28.41822
0.25,481,5450,1.783067,1.533909,13.6740506329,11.4199957226,41.010541
0.26,498,5668,1.737024,1.2423357,19.2035087719,11.4390705957,39.951552
0.27,508,3706,1.620012,1.2214352,13.5947521866,7.32268821798,24.30018
0.28,510,6540,1.62639,1.2196905,9.25944584383,12.8693666199,42.28614
0.29,512,4360,1.460736,1.222656,14.9008264463,8.54443169998,26.293248
0.3,512,7194,1.460736,1.222656,9.820861678,14.098312305,42.361344
0.31,512,6322,1.460736,1.222656,18.4104046243,12.389425965,36.5184
0.32,513,4578,1.463589,1.2225816,13.3888888889,8.95480530137,26.344602
0.33,517,8502,1.365397,1.2148466,8.23488372093,16.5059346404,45.058101
0.34,518,4796,1.363894,1.2153057,15.2260869565,9.29361023998,25.913986
0.35,521,6104,1.371793,1.208199,9.74346793349,11.7639943227,32.923032
0.36,531,5450,1.344492,1.2109455,16.868852459,10.3175880138,28.234332
0.37,541,6540,1.36873,1.222119,10.533916849,12.1653606866,34.21825
0.38,552,6322,1.318176,1.2240324,13.2764578834,11.5389906227,30.318048
0.39,574,6104,1.335124,1.2383189,13.7040572792,10.7407815262,29.372728
0.4,588,6540,1.367688,1.2522048,12.5276595745,11.2507907472,31.456824
0.41,620,6976,1.40058,1.284826,12.8300653595,11.4132557039,32.21334
0.42,648,7194,1.463832,1.3203972,12.7616487455,11.282622103,33.668136
0.43,679,8720,1.467998,1.355284,11.7600767754,13.0666231774,38.167948
0.44,708,6758,1.530696,1.3914324,11.4727891156,9.71750549598,30.61392
0.45,755,7412,1.53416,1.4505815,10.5317460317,9.995686489,30.6832
0.46,800,7630,1.6256,1.49048,11.9397810219,9.70161884088,32.512
0.47,835,6758,1.69672,1.5232905,10.8847305389,8.22064744947,28.84424
0.48,874,7412,1.655356,1.5525299,9.89728958631,8.59275235408,28.141052
0.49,915,7412,1.73301,1.573068,9.55641025641,8.18871135907,29.46117
0.5,954,7848,1.732464,1.5449076,9.20179948586,8.29683879452,29.451888
0.51,974,8066,1.768784,1.4312443,9.54859335038,8.34019637841,30.069328
0.52,992,8720,1.787584,1.2686688,9.21611721612,8.84156454886,32.176512
0.53,1005,8066,1.7085,1.22811,10.0946969697,8.06482971797,29.0445
0.54,1007,9156,1.7119,1.2262239,8.88157894737,9.13550796575,32.5261
0.55,1015,9374,1.624,1.22206,9.67686658507,9.27522037051,30.856
0.56,1018,10682,1.6288,1.222618,10.0143042913,10.5369866189,34.2048
0.57,1022,10682,1.628046,1.2243049,10.419525066,10.4941269294,34.188966
0.58,1024,9592,1.502208,1.224704,10.943236715,9.40440730286,28.541952
0.59,1024,9592,1.502208,1.224704,9.70023419204,9.40440730286,28.541952
0.6,1024,9810,1.502208,1.224704,9.28555431131,9.61814383247,30.04416
0.61,1025,11336,1.4637,1.2259,9.8215661104,11.1032663492,33.6651
0.62,1025,9374,1.4637,1.2259,10.1418764302,9.18154717338,27.8103
0.63,1026,7412,1.465128,1.2268395,10.2100456621,7.25283611831,21.97692
0.64,1029,8720,1.469412,1.2261564,8.43120260022,8.50854881482,24.980004
0.65,1031,9374,1.472268,1.227921,9.68724279835,9.12955210695,27.973092
0.66,1033,8938,1.475124,1.2269974,9.30537634409,8.68869881847,26.552232
0.67,1033,10028,1.475124,1.2269974,9.48289473684,9.74829623535,29.50248
0.68,1037,10682,1.423801,1.229882,9.44710327456,10.3454511585,29.899821
0.69,1040,8066,1.36552,1.221116,10.3203661327,7.79031990442,21.84832
0.7,1044,10028,1.370772,1.2189222,8.42675159236,9.6504558798,27.41544
0.71,1055,9592,1.385215,1.21958,10.414664981,9.14003399038,26.319085
0.72,1065,9156,1.39089,1.221342,9.51801242236,8.646481164,25.03602
0.73,1074,9156,1.35324,1.21899,9.19784172662,8.57825867603,24.35832
0.74,1086,8938,1.329264,1.2269085,8.99574468085,8.28701080429,22.597488
0.75,1096,10028,1.340408,1.231082,8.72749391727,9.21817217448,25.467752
0.76,1115,8720,1.34246,1.2346395,9.45416666667,7.88767585579,21.47936
0.77,1129,9592,1.359316,1.2459644,8.4581772784,8.5767539987,23.108372
0.78,1149,8938,1.362714,1.254708,9.67009249743,7.86024198855,21.803424
0.79,1168,9156,1.364224,1.2536144,7.70868347339,7.92830337962,21.827584
0.8,1189,9374,1.388752,1.261529,7.8834841629,7.98092931051,22.220032
0.81,1211,8284,1.414448,1.273972,8.2955801105,6.93111659339,19.802272
0.82,1243,10682,1.424478,1.296449,7.78241758242,8.71905611758,25.640604
0.83,1278,9810,1.414746,1.3152537,9.03262955854,7.79621635823,22.635936
0.84,1304,12208,1.443528,1.3285804,7.60496613995,9.51527803853,27.427032
0.85,1335,11554,1.477845,1.3474155,8.86320754717,8.80260848377,26.60121
0.86,1375,9810,1.522125,1.368125,7.76378676471,7.26066566972,22.831875
0.87,1402,11772,1.552014,1.382372,8.33906071019,8.54738907492,26.384238
0.88,1435,9592,1.588545,1.404865,8.04517271922,6.80623046335,22.23963
0.89,1485,9156,1.52658,1.434213,7.71686203787,6.27774617682,19.84554
0.9,1512,12208,1.554336,1.45152,6.96071829405,8.2198897438,26.423712
0.91,1567,10900,1.610876,1.4819119,8.473547268,7.07800322923,22.552264
0.92,1610,10682,1.62932,1.49569,6.99740932642,6.7458807601,22.81048
0.93,1652,10464,1.661912,1.5156274,7.17491166078,6.43490670684,21.604856
0.94,1687,11772,1.661695,1.5312899,7.31583629893,7.08326796266,23.26373
0.95,1722,11772,1.69617,1.5428259,7.75978161965,6.93280424882,23.74638
0.96,1763,11772,1.694243,1.553203,7.68772241993,6.76371302322,23.719402
0.97,1795,12862,1.717815,1.56165,7.20232766338,7.25071731233,25.767225
0.98,1826,12862,1.729222,1.5521,7.59148550725,7.12032910532,25.93833
0.99,1847,13298,1.749109,1.557021,7.76030680729,7.27272423407,26.236635
1.0,1874,13734,1.774678,1.562916,8.09389243391,7.39655887407,26.62017
1.01,1900,13952,1.7993,1.54128,8.19486692015,7.4055963377,26.9895
1.02,1928,13734,1.739056,1.511552,8.22111010009,7.17640096025,26.08584
1.03,1944,14170,1.753488,1.432728,8.12683823529,7.33959729211,26.30232
1.04,1966,13298,1.74974,1.294611,7.66959297686,6.80576431434,24.49636
1.05,1978,13516,1.728772,1.2800627,7.18831168831,6.87244601983,24.202808
1.06,1992,14170,1.701168,1.256952,7.35383159886,7.1511462978,25.51752
1.07,2010,13734,1.71654,1.2493155,8.0088,6.86570550474,24.03156
1.08,2017,14170,1.722518,1.244489,7.46294820717,7.05758933047,25.83777
1.09,2023,14824,1.675044,1.240099,7.7008797654,7.35992343692,25.12566
1.1,2026,15260,1.677528,1.240925,8.74248496994,7.56471005364,26.840448
1.11,2034,13516,1.65771,1.2333159,8.16774193548,6.67253419885,23.20794
1.12,2036,15260,1.59826,1.233816,7.68191056911,7.52579244618,23.9739
1.13,2039,5450,1.600615,1.2317599,8.12258687259,2.68372010578,9.60369
1.14,2039,15042,1.600615,1.2317599,8.6164495114,7.40706749195,24.009225
1.15,2041,17004,1.602185,1.232764,8.1592920354,8.36483569506,27.237145
1.16,2041,15042,1.602185,1.232764,8.55209187859,7.39966234563,24.032775
1.17,2044,16568,1.537088,1.2301814,7.72930866602,8.13800671577,26.130496
1.18,2044,14388,1.537088,1.2301814,8.34911717496,7.06721635843,23.05632
1.19,2045,15042,1.53784,1.229045,7.868,7.38477395614,23.0676
1.2,2047,15260,1.502498,1.230247,8.29933269781,7.48446441171,22.53747
1.21,2048,14606,1.503232,1.2301312,8.59490550534,7.1601568003,22.54848
1.22,2048,17004,1.503232,1.2301312,7.66498486377,8.3357049317,25.554944
1.23,2049,14388,1.503966,1.2294,8.73027989822,7.04991162332,22.55949
1.24,2049,15914,1.503966,1.2294,8.1640776699,7.79762952276,24.063456
1.25,2049,14388,1.503966,1.2294,8.15562913907,7.04991162332,22.55949
1.26,2050,16786,1.5047,1.23,8.05888223553,8.22102099656,25.5799
1.27,2051,15478,1.505434,1.2306,8.53182579564,7.57678494905,24.086944
1.28,2054,14388,1.507636,1.230346,8.14863748968,7.03294788684,22.61454
1.29,2056,14824,1.509104,1.231544,7.68860510806,7.23901549609,22.63656
1.3,2063,13734,1.442037,1.229548,8.25634725635,6.684547664,20.188518
1.31,2063,16132,1.442037,1.229548,7.80980980981,7.85169090692,23.072592
1.32,2070,15478,1.41174,1.22958,8.54864593781,7.50886199035,21.1761
1.33,2072,14824,1.413104,1.2296284,8.89966832504,7.18488396138,21.19656
1.34,2073,16568,1.413786,1.229289,7.38761904762,8.02644859296,22.620576
1.35,2076,14606,1.413756,1.231068,8.59268495428,7.06607277072,21.20634
1.36,2082,16786,1.417842,1.230462,8.023,8.09836374408,24.103314
1.37,2083,15042,1.418523,1.231053,8.75745909528,7.25376666708,21.277845
1.38,2086,15042,1.420566,1.23074,8.6232821342,7.24388568182,21.30849
1.39,2091,16350,1.423971,1.2305535,7.41755062681,7.8559975606,22.783536
1.4,2101,14606,1.430781,1.229085,8.35236541599,6.98632948788,20.030934
1.41,2108,16786,1.389172,1.228964,7.77164605138,8.00352238503,22.226752
1.42,2116,14606,1.371168,1.231512,7.90827922078,6.93997648227,19.196352
1.43,2129,14824,1.379592,1.2275814,7.6046141607,7.00311329809,19.314288
1.44,2140,15260,1.38672,1.228467,7.56509161041,7.1739749271,20.8008
1.45,2149,15042,1.392552,1.229228,8.2385786802,7.04343095892,19.495728
1.46,2161,14606,1.36143,1.229609,7.78762696214,6.80340285325,19.06002
1.47,2173,14606,1.36899,1.2329602,7.9296,6.76822689034,19.16586
1.48,2182,14824,1.37466,1.23283,7.30840400925,6.84250068098,19.24524
1.49,2196,14170,1.38348,1.236348,7.23035019455,6.50164187991,17.98524
1.5,2214,15260,1.374894,1.2361869,7.088,6.94789676996,19.248516
1.51,2231,15042,1.385451,1.240436,7.2932618683,6.79922725263,19.396314
